transaction_id,amount,currency,merchant_id,merchant_type,customer_location,payment_method,transaction_time,device_type,network_type,fraud_risk_score,transaction_type,customer_id,processor_pathway
TXN_b3d7c8e4,67612.95293483371,NGN,MERCH_17766018,Retail,Lagos,USSD,2025-06-26 22:10:24.040652,Mobile,Wi-Fi,0.12078011244511633,Purchase,CUST_f499bd89,USSD_MTN
TXN_e2b316b7,98804.19919512067,NGN,MERCH_9310b15c,Hospitality,Rural,Card,2025-07-20 22:10:24.040685,Web,Wi-Fi,0.6742300700422648,Refund,CUST_cac57765,USSD_Airtel
TXN_05f22da7,73938.079432253,NGN,MERCH_b9ac0da3,Service,Abuja,Mobile_Money,2025-07-14 22:10:24.040690,POS,4G,0.9358913263112968,Transfer,CUST_b952d5f7,Card_Mastercard
TXN_142599f7,57155.4915350415,NGN,MERCH_d6b3aead,E-commerce,Rural,Mobile_Money,2025-07-07 22:10:24.040694,Mobile,4G,0.5435113694574815,Purchase,CUST_2a178c8a,USSD_MTN
TXN_ea8c466c,22424.268108698612,NGN,MERCH_f3e18811,Hospitality,Lagos,Mobile_Money,2025-07-15 22:10:24.040698,POS,Wi-Fi,0.9712413118064676,Transfer,CUST_155b2389,Mobile_Money_OPay
TXN_cf0caf0a,87517.51176456427,NGN,MERCH_84824f90,E-commerce,Lagos,USSD,2025-07-21 22:10:24.040701,Mobile,4G,0.6596072021230539,Transfer,CUST_8d7bc5ff,Card_Verve
TXN_d2dad02e,29479.18239291117,NGN,MERCH_8e9bef2d,Hospitality,Ibadan,Mobile_Money,2025-07-02 22:10:24.040704,Mobile,3G,0.32834218283030825,Purchase,CUST_9b16de45,USSD_MTN
TXN_770128fe,60132.27081768358,NGN,MERCH_e62e1127,E-commerce,Port Harcourt,USSD,2025-06-22 22:10:24.040709,Web,Wi-Fi,0.6112910529031476,Transfer,CUST_6d31acda,USSD_MTN
TXN_e5315884,20508.04678503257,NGN,MERCH_d692271e,Service,Kano,USSD,2025-07-16 22:10:24.040720,Web,4G,0.06700569951195112,Purchase,CUST_5b7e4d75,USSD_MTN
TXN_3ebf88c8,41236.54987780214,NGN,MERCH_7e848bda,E-commerce,Rural,Mobile_Money,2025-07-10 22:10:24.040725,Web,Wi-Fi,0.017351695673818113,Transfer,CUST_96b44df4,Card_Mastercard
TXN_de7c9345,29000.501809822723,NGN,MERCH_5d81aba7,Retail,Rural,Mobile_Money,2025-07-01 22:10:24.040728,Web,Wi-Fi,0.4735325797648219,Refund,CUST_25f9847c,Card_Visa
TXN_1bb4308b,53185.747031984465,NGN,MERCH_bb78dcf1,Hospitality,Ibadan,Card,2025-07-12 22:10:24.040732,Mobile,Wi-Fi,0.8124772921545487,Purchase,CUST_d3d3afd9,USSD_Airtel
TXN_147203b9,1227.5874653020455,NGN,MERCH_8a32d6cc,Retail,Abuja,USSD,2025-07-08 22:10:24.040735,Mobile,4G,0.4059984600469847,Refund,CUST_84b93129,Mobile_Money_Paga
TXN_a5317add,32627.517667327462,NGN,MERCH_1e0d5246,Hospitality,Kano,Mobile_Money,2025-07-11 22:10:24.040737,Web,Wi-Fi,0.5856577995758908,Refund,CUST_a1f94902,USSD_Airtel
TXN_86ee9c27,73345.4583181485,NGN,MERCH_3386f890,Hospitality,Port Harcourt,Bank_Transfer,2025-07-14 22:10:24.040740,POS,Wi-Fi,0.6515171204810203,Purchase,CUST_0b5182b8,Card_Mastercard
TXN_c5cce313,36149.716517151595,NGN,MERCH_a15b05ef,Hospitality,Ibadan,Card,2025-06-28 22:10:24.040743,POS,3G,0.2762559885792969,Purchase,CUST_9b2786ab,Card_Verve
TXN_96fb4c62,94141.78330921735,NGN,MERCH_dc078074,Service,Lagos,Card,2025-07-20 22:10:24.040746,Mobile,Wi-Fi,0.6762952045077099,Purchase,CUST_6ad71b24,Mobile_Money_OPay
TXN_adcee3c0,41129.14440819904,NGN,MERCH_45d47355,Hospitality,Rural,Mobile_Money,2025-07-17 22:10:24.040749,Web,4G,0.6309887105352016,Transfer,CUST_c5e65e10,USSD_Airtel
TXN_e7e5a113,94607.78374064602,NGN,MERCH_dd73724c,E-commerce,Abuja,USSD,2025-06-22 22:10:24.040752,Web,3G,0.5993923571083286,Refund,CUST_4aa0a4ca,Card_Verve
TXN_e224a8b7,93826.35559114172,NGN,MERCH_8751c899,Hospitality,Rural,Mobile_Money,2025-07-03 22:10:24.040755,POS,4G,0.2175139121412638,Transfer,CUST_e428698b,Card_Verve
TXN_d3b088c6,61521.2165459753,NGN,MERCH_f4e7500b,Service,Ibadan,Mobile_Money,2025-06-26 22:10:24.040758,POS,4G,0.2773589923665132,Transfer,CUST_1cc7882f,Card_Mastercard
TXN_a29bd538,46580.46249479061,NGN,MERCH_9701a99b,E-commerce,Lagos,Card,2025-07-10 22:10:24.040761,POS,Wi-Fi,0.1490545070547109,Transfer,CUST_48a056f7,Bank_Transfer_Zenith
TXN_edd80fd2,77538.53482593974,NGN,MERCH_6990e4b9,Retail,Abuja,Card,2025-07-03 22:10:24.040764,POS,3G,0.11165571368473348,Refund,CUST_bd644db2,Mobile_Money_Paga
